#Gene	Name/Description	Isoforms	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
SLC23A2	SLC23A2	4	363.26	359.74	167.41
SLC25A1	SLC25A1	2	1069.64	772.43	470.82
SLC25A10	SLC25A10	3	627.8	509.73	369.91
SLC25A11	SLC25A11	3	572.28	498.18	310.79
SLC25A12	SLC25A12	2	65.46	62.68	61.23
SLC25A13	SLC25A13	9	2313.45	2647.21	2367.78
SLC25A15	SLC25A15	5	4302.9	3736.96	2511.39
SLC25A15_LOC113251286	SLC25A15_LOC113251286	1	41.1	31.27	36.36
SLC25A16	SLC25A16	4	216.39	214.72	174.07
SLC25A17	SLC25A17	2	134.88	133.18	127.39
SLC25A18	SLC25A18	12	792.89	697.58	477.7
SLC25A19	SLC25A19	1	36.15	29.17	14.82
SLC25A20	SLC25A20	1	286.18	356.38	300.15
SLC25A21	SLC25A21	2	124.6	119.89	95.87
SLC25A22	SLC25A22	1	50.48	43.22	62.99
SLC25A23	SLC25A23	3	531.29	422.53	256.69
SLC25A25	SLC25A25	14	1708.0	2817.61	3381.44
SLC25A26	SLC25A26	4	107.69	113.18	117.87
SLC25A27	SLC25A27	7	664.97	747.27	240.82
SLC25A28	SLC25A28	2	118.77	111.07	98.91
SLC25A3	SLC25A3	7	2028.88	2364.79	1676.05
SLC25A30	SLC25A30	12	344.39	500.5	1911.92
SLC25A30_COG3	SLC25A30_COG3	2	112.15	190.4	242.06
SLC25A32	SLC25A32	2	232.66	234.26	247.38
SLC25A33	SLC25A33	3	71.49	81.8	183.36
SLC25A34	SLC25A34	4	189.67	154.39	112.44
SLC25A35	SLC25A35	1	21.69	19.58	7.22
SLC25A36	SLC25A36	4	82.38	119.91	202.24
SLC25A37	SLC25A37	5	346.26	310.52	289.58
SLC25A38	SLC25A38	3	325.84	290.42	181.15
SLC25A39	SLC25A39	5	708.45	512.6	461.23
SLC25A4	SLC25A4	3	388.51	365.54	364.17
SLC25A40	SLC25A40	10	501.1	536.51	515.08
SLC25A42	SLC25A42	1	62.66	65.33	66.98
SLC25A43	SLC25A43	1	83.94	83.96	50.67
SLC25A44	SLC25A44	3	142.44	92.24	63.96
SLC25A46	SLC25A46	3	315.81	330.64	251.91
SLC25A47	SLC25A47	1	293.97	351.7	515.77
SLC25A48	SLC25A48	4	337.75	272.83	94.64
SLC25A5	SLC25A5	1	902.1	858.6	864.85
SLC25A51	SLC25A51	7	292.34	252.2	353.84
SLC25A53	SLC25A53	1	15.64	17.08	20.91
SLC25A6	SLC25A6	3	3316.42	3484.63	2846.58
SLC26A1	SLC26A1	5	515.44	369.91	248.57
SLC26A11	SLC26A11	1	68.81	46.92	27.2
SLC26A2	SLC26A2	1	82.42	80.22	96.78
SLC26A6	SLC26A6	1	14.75	8.65	13.47
SLC27A1	SLC27A1	5	154.06	83.64	72.8
SLC27A2	SLC27A2	2	479.93	543.29	176.44
SLC27A3	SLC27A3	1	7.19	14.48	17.22
SLC27A4	SLC27A4	3	762.28	811.35	323.19
SLC27A5	SLC27A5	15	7904.82	7581.36	3776.83
SLC27A6	SLC27A6	2	219.64	248.24	483.63
SLC28A3	SLC28A3	1	130.39	166.51	185.01
SLC29A1	SLC29A1	9	494.88	409.47	373.26
SLC29A2	SLC29A2	1	52.33	32.82	21.28
SLC29A3	SLC29A3	2	55.11	46.58	58.44
SLC2A1	SLC2A1	1	38.16	34.88	4.9
SLC2A10	SLC2A10	4	118.73	107.04	172.26
SLC2A11	SLC2A11	3	98.23	72.84	65.38
SLC2A12	SLC2A12	2	84.67	86.49	60.22
SLC2A13	SLC2A13	1	37.94	42.55	26.11
SLC2A2	SLC2A2	4	4548.33	4289.88	3130.78
SLC2A3	SLC2A3	1	30.92	17.43	29.09
SLC2A4RG	SLC2A4RG	1	426.11	402.37	543.59
SLC2A6	SLC2A6	2	38.95	25.9	33.79
SLC2A8	SLC2A8	4	127.44	107.2	67.24
SLC2A9	SLC2A9	5	257.98	244.18	215.8
SLC30A1	SLC30A1	1	657.3	665.25	788.24
SLC30A10	SLC30A10	1	561.08	574.83	903.17
SLC30A4	SLC30A4	1	37.61	36.61	26.06
SLC30A5	SLC30A5	2	389.55	458.1	515.24
SLC30A6	SLC30A6	2	88.33	129.89	113.47
SLC30A7	SLC30A7	3	318.05	370.73	382.98
SLC30A9	SLC30A9	3	334.89	377.74	366.13
SLC31A1	SLC31A1	2	2690.04	2577.34	1897.04
SLC31A2	SLC31A2	4	127.99	109.58	91.18
SLC33A1	SLC33A1	4	426.18	502.68	443.21
SLC35A1	SLC35A1	3	163.5	214.03	216.5
SLC35A2	SLC35A2	1	50.18	51.0	61.96
SLC35A3	SLC35A3	4	1434.67	1603.67	1355.71
SLC35A4	SLC35A4	1	7.02	15.25	9.25
SLC35A4_LOC113261831	SLC35A4_LOC113261831	3	59.0	57.16	94.87
SLC35A5	SLC35A5	4	176.34	136.04	125.75
SLC35B1	SLC35B1	3	97.96	112.57	163.61
SLC35B2	SLC35B2	3	190.14	176.65	207.72
SLC35B3	SLC35B3	6	107.26	117.96	185.56
SLC35B4	SLC35B4	1	418.32	525.59	362.21
SLC35C1	SLC35C1	2	52.8	33.82	27.75
SLC35C2	SLC35C2	6	147.68	148.26	156.15
SLC35D1	SLC35D1	1	759.92	865.94	864.84
SLC35D2	SLC35D2	4	198.44	208.76	169.94
SLC35E1	SLC35E1	1	136.66	139.12	162.92
SLC35E3	SLC35E3	1	89.52	92.79	72.2
SLC35F5	SLC35F5	4	281.31	347.71	341.58
SLC35F6	SLC35F6	1	247.41	212.51	173.61
SLC35G1	SLC35G1	1	173.07	113.9	30.93
SLC36A1	SLC36A1	2	76.02	56.38	51.86
SLC36A4	SLC36A4	1	18.78	16.42	17.08
SLC37A2	SLC37A2	2	33.36	23.42	29.67
SLC37A3	SLC37A3	3	77.85	93.76	119.81
SLC37A4	SLC37A4	4	622.69	611.81	620.38
SLC38A10	SLC38A10	3	210.74	180.24	210.02
SLC38A2	SLC38A2	9	2940.96	3885.96	3016.18
SLC38A3	SLC38A3	18	3541.17	2454.78	1700.32
