#Gene	Name/Description	Isoforms	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
TAB1	TAB1	3	257.31	232.74	272.09
TAB2	TAB2	5	651.2	627.51	673.11
TAB3	TAB3	2	118.45	147.21	179.77
TACC1	TACC1	5	207.05	141.91	176.27
TACC2	TACC2	10	3166.02	3786.61	5224.54
TADA2A	TADA2A	1	79.09	80.31	74.2
TADA2B	TADA2B	1	119.05	124.26	173.59
TADA3	TADA3	2	112.14	116.59	117.49
TAF1	TAF1	7	374.36	348.7	351.67
TAF10	TAF10	1	282.52	307.96	263.92
TAF11	TAF11	2	162.77	160.42	165.11
TAF12	TAF12	2	106.89	111.37	96.94
TAF13	TAF13	1	63.96	74.98	54.51
TAF15	TAF15	1	52.88	40.32	36.42
TAF1B	TAF1B	2	137.27	142.67	157.71
TAF1C	TAF1C	1	28.96	23.11	39.02
TAF2	TAF2	5	181.43	174.53	195.64
TAF3	TAF3	1	73.24	60.54	69.09
TAF4	TAF4	1	21.41	23.92	31.1
TAF4B	TAF4B	1	54.39	53.26	45.34
TAF5	TAF5	1	32.28	39.04	39.27
TAF5L	TAF5L	2	134.39	144.88	164.86
TAF6	TAF6	1	26.54	24.63	24.9
TAF6_LOC113267886	TAF6_LOC113267886	1	41.34	38.54	26.98
TAF7	TAF7	2	673.34	689.22	767.82
TAF8	TAF8	1	17.22	10.08	12.79
TAF9	TAF9	2	162.48	200.16	116.22
TAF9B	TAF9B	1	66.64	81.65	103.08
TAGLN	TAGLN	1	534.21	326.85	531.45
TAGLN2	TAGLN2	2	463.9	277.42	310.39
TALDO1	TALDO1	1	777.1	890.04	615.85
TAMM41	TAMM41	1	49.51	50.6	24.23
TANC2	TANC2	2	43.03	50.04	35.34
TANGO2	TANGO2	3	147.18	266.89	117.41
TANK	TANK	2	85.6	94.8	75.09
TAOK1	TAOK1	2	691.48	669.7	777.1
TAOK2	TAOK2	4	235.01	190.3	164.86
TAOK3	TAOK3	2	89.48	65.56	73.13
TAP1	TAP1	1	34.46	20.01	49.01
TAP2	TAP2	3	60.66	55.6	77.14
TAPBP	TAPBP	2	167.96	157.72	170.56
TAPBPL	TAPBPL	2	70.55	63.96	135.02
TAPT1	TAPT1	2	248.13	261.81	398.39
TARBP1	TARBP1	2	170.72	192.79	188.91
TARBP2	TARBP2	1	69.81	67.91	40.26
TARDBP	TARDBP	3	245.5	235.62	222.37
TARS	TARS	3	479.45	526.33	403.5
TARS2	TARS2	2	244.16	298.24	240.51
TARSL2	TARSL2	1	1471.77	1660.85	1372.97
TATDN1	TATDN1	1	66.08	70.47	57.71
TATDN2	TATDN2	2	99.66	102.17	118.45
TATDN3	TATDN3	3	96.05	130.53	122.22
TAX1BP1	TAX1BP1	6	1048.05	1246.42	1119.09
TAX1BP3	TAX1BP3	1	112.49	80.81	88.6
TAZ	TAZ	3	88.79	94.54	80.04
TBC1D1	TBC1D1	6	897.39	918.3	603.02
TBC1D10A	TBC1D10A	1	30.26	19.89	23.68
TBC1D10B	TBC1D10B	1	297.18	258.84	325.79
TBC1D12	TBC1D12	4	98.83	85.22	111.93
TBC1D13	TBC1D13	4	163.07	138.56	171.72
TBC1D14	TBC1D14	2	161.71	187.24	210.55
TBC1D15	TBC1D15	2	92.52	83.61	85.77
TBC1D16	TBC1D16	1	182.75	274.75	121.38
TBC1D17	TBC1D17	1	279.6	330.45	276.72
TBC1D19	TBC1D19	1	14.74	28.08	10.71
TBC1D20	TBC1D20	3	226.16	209.35	229.15
TBC1D22A	TBC1D22A	2	407.77	404.2	333.17
TBC1D22B	TBC1D22B	1	21.03	32.29	25.3
TBC1D23	TBC1D23	4	243.77	272.27	264.93
TBC1D24	TBC1D24	2	51.73	55.78	59.02
TBC1D25	TBC1D25	1	46.4	40.06	75.21
TBC1D2B	TBC1D2B	1	95.79	56.09	82.89
TBC1D30	TBC1D30	2	41.83	40.04	46.54
TBC1D32	TBC1D32	2	41.3	42.65	50.7
TBC1D4	TBC1D4	2	1177.44	1233.21	1246.38
TBC1D5	TBC1D5	3	143.0	154.42	157.78
TBC1D8	TBC1D8	4	241.17	293.9	351.66
TBC1D9	TBC1D9	1	116.49	152.01	150.78
TBC1D9B	TBC1D9B	1	304.14	253.62	263.17
TBCA	TBCA	2	59.99	56.43	79.59
TBCB	TBCB	2	204.73	181.82	204.57
TBCC	TBCC	1	73.24	66.32	83.0
TBCCD1	TBCCD1	1	65.7	70.86	58.21
TBCD	TBCD	1	580.7	568.62	448.17
TBCE	TBCE	1	37.63	36.14	38.82
TBCEL	TBCEL	2	31.54	33.14	24.84
TBCK	TBCK	2	168.0	172.6	218.91
TBK1	TBK1	3	138.35	165.15	132.34
TBL1X	TBL1X	1	632.82	697.77	736.28
TBL1XR1	TBL1XR1	7	797.98	771.69	833.61
TBL2	TBL2	2	93.68	91.04	111.89
TBL3	TBL3	1	154.85	119.56	164.11
TBP	TBP	1	86.77	96.91	89.74
TBPL1	TBPL1	2	50.15	48.86	59.7
TBRG1	TBRG1	2	269.35	246.94	200.44
TBRG4	TBRG4	5	1724.85	2010.76	1787.07
TBX1	TBX1	1	35.16	79.84	47.7
TBX15	TBX15	3	1955.48	1667.97	2150.33
TBX18	TBX18	1	37.82	23.81	32.92
TBX2	TBX2	1	26.28	23.56	22.92
TBX3	TBX3	1	42.43	39.22	27.51
TBXA2R	TBXA2R	1	18.18	9.71	11.16
TCAF1	TCAF1	3	274.65	236.28	248.79
TCAIM	TCAIM	5	225.42	221.7	110.26
TCAP	TCAP	1	30222.18	48135.77	22372.8
TCEA1	TCEA1	1	337.21	361.91	368.62
TCEA2	TCEA2	1	46.56	36.49	47.22
TCEA3	TCEA3	2	3032.13	3260.53	4450.73
TCEAL1	TCEAL1	3	332.97	375.89	315.14
TCEAL8	TCEAL8	1	65.93	63.94	63.15
TCEANC	TCEANC	2	137.38	157.92	131.09
TCEANC2	TCEANC2	1	16.53	26.76	22.75
TCERG1	TCERG1	3	138.1	116.84	187.84
TCF12	TCF12	6	460.43	544.15	501.42
TCF15	TCF15	1	34.33	34.57	29.71
TCF20	TCF20	2	194.07	172.88	226.2
TCF25	TCF25	1	385.87	447.92	368.44
TCF3	TCF3	3	66.3	72.91	96.91
TCF4	TCF4	10	481.65	341.37	343.72
TCFL5	TCFL5	1	31.46	22.22	31.91
TCHH	TCHH	1	32.44	33.81	37.75
TCHP	TCHP	1	21.11	23.02	17.96
TCIM	TCIM	1	62.5	69.74	79.31
TCN2	TCN2	5	184.78	197.89	156.26
TCOF1	TCOF1	2	29.28	21.7	42.0
TCP1	TCP1	2	2425.3	2612.68	3094.14
TCP11L1	TCP11L1	1	110.65	93.39	102.8
TCP11L2	TCP11L2	5	414.83	473.3	342.49
TCTA	TCTA	3	267.76	253.98	303.3
TCTEX1D2	TCTEX1D2	1	18.84	16.57	22.3
TCTN1	TCTN1	1	175.36	185.8	114.37
TCTN2	TCTN2	3	47.84	47.68	49.56
TDG	TDG	1	38.62	32.0	51.44
TDP2	TDP2	3	275.28	273.25	250.83
TDRD3	TDRD3	5	256.29	249.1	205.75
TDRD7	TDRD7	1	68.94	47.08	50.93
TDRKH	TDRKH	1	28.19	21.55	17.36
TDRP	TDRP	1	40.19	25.82	31.62
