#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
EXO5_ZNF684	EXO5_ZNF684	Not DIU	0.52076	NO		200.2	279.41	135.75
EXOC1	EXOC1	Not DIU	0.91758	NO		945.0	958.43	1068.26
EXOC2	EXOC2	Not DIU	0.1904	YES	1,2	731.15	653.46	603.44
EXOC3	EXOC3	DIU	2.1075E-8	YES	3	1113.59	1090.38	1011.01
EXOC3L1	EXOC3L1	Not DIU	0.22107	YES	1,2	62.99	66.25	61.86
EXOC4	EXOC4	DIU	0.0046068	NO		848.24	756.61	532.11
EXOC6	EXOC6	Not DIU	0.60288	NO		275.33	241.98	226.57
EXOC6B	EXOC6B	Not DIU	0.099865	YES	1,3	1725.64	2607.8	2308.56
EXOC6B_LOC113244050	EXOC6B_LOC113244050	Not DIU	0.061714	NO		764.57	551.52	381.5
EXOC8	EXOC8	Not DIU	0.75367	NO		388.0	319.2	319.33
EXOG	EXOG	Not DIU	0.4001	NO		87.26	85.72	92.27
EXOSC1	EXOSC1	Not DIU	0.2646	NO		227.61	223.94	262.64
EXOSC10	EXOSC10	Not DIU	0.093807	NO		680.21	706.16	848.0
EXOSC2	EXOSC2	DIU	0.02114	NO		201.91	250.51	287.05
EXOSC7	EXOSC7	Not DIU	0.57033	NO		262.06	312.77	340.33
EXPH5	EXPH5	Not DIU	0.22721	YES	1	11.03	23.41	41.4
EXTL2	EXTL2	Not DIU	0.86708	NO		185.12	168.16	133.77
EXTL3	EXTL3	Not DIU	0.90066	NO		272.49	256.5	132.3
EXTL3_LOC113269942	EXTL3_LOC113269942	Not DIU	0.12386	YES	3	1349.64	1021.06	578.27
EYA3	EYA3	Not DIU	0.080046	NO		323.33	324.09	339.25
EZH1	EZH1	Not DIU	0.20609	YES	3	717.24	973.89	914.04
EZH2	EZH2	DIU	0.015612	NO		54.51	47.93	116.42
EZR	EZR	Not DIU	0.94001	YES	1	808.52	991.66	850.57
F8	F8	Not DIU	0.30608	YES	1	899.18	1067.54	1147.06
FAAP100	FAAP100	Not DIU	0.32185	YES	3	110.34	87.52	102.93
FADS1	FADS1	Not DIU	0.25983	NO		2149.59	224.92	77.52
FADS2	FADS2	Not DIU	0.070343	NO		5786.27	750.62	391.77
FAF1	FAF1	DIU	0.0055935	YES	1	1625.7	1435.43	1120.18
FAH	FAH	DIU	1.9328E-9	YES	3	3073.08	1769.46	472.53
FAHD1	FAHD1	Not DIU	0.50407	NO		499.04	380.07	291.46
FAIM	FAIM	Not DIU	0.33946	YES	2	147.88	124.8	95.82
FAM104A	FAM104A	Not DIU	0.78477	NO		253.25	253.32	253.73
FAM107B	FAM107B	Not DIU	0.6808	NO		341.35	455.62	564.91
FAM110B	FAM110B	Not DIU	0.76042	YES	2	193.77	218.48	137.19
FAM110D	FAM110D	Not DIU	0.16382	YES	1	39.09	29.47	23.92
FAM111B	FAM111B	Not DIU	0.70886	NO		99.26	94.85	87.59
FAM114A1	FAM114A1	DIU	0.02126	NO		1413.73	1329.32	1307.24
FAM117A	FAM117A	Not DIU	0.33411	NO		83.23	74.02	45.89
FAM118A	FAM118A	Not DIU	0.097554	NO		152.16	223.66	251.38
FAM118B	FAM118B	Not DIU	0.25527	NO		143.09	138.0	142.42
FAM120B	FAM120B	DIU	9.8643E-8	YES	1,3	638.3	719.84	672.15
FAM120C	FAM120C	DIU	0.011659	YES	3	1051.98	1040.91	747.8
FAM122A	FAM122A	Not DIU	0.38856	NO		157.58	161.71	150.99
FAM122B	FAM122B	DIU	0.043138	YES	3	52.96	49.89	46.27
FAM124A	FAM124A	Not DIU	0.050005	YES	1,3	106.47	126.01	167.62
FAM129B	FAM129B	Not DIU	0.23746	NO		354.57	443.37	596.93
FAM131A	FAM131A	DIU	0.042189	YES	2	73.63	98.36	99.15
FAM133B	FAM133B	Not DIU	0.51757	NO		59.43	64.15	76.94
FAM133B_LOC113259966	FAM133B_LOC113259966	Not DIU	0.71057	YES	1	205.0	208.21	209.2
