clusters.cut
GLUL	1
GLYCTK	8
GM2A	7
GMNN	3
GNG14	8
GNPAT	9
GOLGA1	3
GOLIM4	7
GOT2	9
GP1BB	2
GPAM	5
GPAT3	7
GPD1	4
GPR75	2
GPT	9
GPX4	1
GPX7	8
GPX8	9
GRB14	8
GRHPR	7
GRM2	2
GSPT1	7
GSTCD	2
GSTZ1	8
GTF2IRD1	2
GTPBP10	8
GUCY2C	7
GYPC	9
GZMK	8
HADH	1
HADHA	7
HADHB	7
HAGH	9
HAX1	8
HBP1	6
HES6	2
HEXA	7
HHIP	9
HIBCH	7
HM13	9
HMBS	8
HMCN2	1
HNRNPA1	1
HNRNPDL	6
HRC	9
HSD17B10	7
HSD17B12	7
HSD17B4	7
HSD17B6	8
HSP90AB1	5
HSPA12A	7
HSPA4	6
HSPA9	6
HSPD1	1
HSPG2	5
HYPK_SERF2	3
IBA57	8
IDH2	7
IDH3A	9
IDH3B	7
IDH3G	7
IDNK	9
IFI44	7
IGFBP7	1
IGSF6	9
IKZF2	8
IL11RA	9
IL17RC_CRELD1	8
IL20RB	2
IL3RA	8
ILK	7
ILKAP	3
IMMT	9
INAFM1	2
INSIG2	1
IPO5	1
IPO7	1
IQSEC3	8
IRAK3	3
ISLR	7
ISOC2	8
ITFG1	7
ITGA7	1
ITGAV	6
ITM2B	1
ITPA	8
JADE1	3
KARS	1
KAZALD1	8
KCNMB4	2
KCP	8
KCTD2	7
KDM3A	6
KDM3B	3
KEAP1	7
KIAA0753	3
KIAA2026	3
KIF22	9
KIF7	3
KLB	1
KPNB1	6
KRT24	2
KXD1	9
L2HGDH	9
LACTB	8
LAMA2	5
LAMA4	5
LAMB2	5
LAMB3	7
LAMC1	5
LAMTOR5	9
LANCL2	8
LARGE1	7
LARS2	8
LBH	3
LBP	9
LDHB	1
LGALS12	7
LGI3	9
LIPA	7
LIPT2	2
LMBRD1	9
LMF1	9
LOC113240701	9
LOC113240981	7
LOC113241099	2
LOC113241107	7
LOC113241519	2
LOC113241657	3
LOC113241784	8
LOC113241827	7
LOC113242144	7
LOC113242347	2
LOC113242552	8
LOC113242741	6
LOC113243118	9
LOC113243250	1
LOC113243251	5
LOC113243310	2
LOC113243722	2
LOC113243815	8
LOC113243882	2
LOC113243895	9
LOC113244095	2
LOC113244729	2
LOC113244843	7
LOC113245020	9
LOC113245037	9
LOC113245166	3
LOC113245259	2
LOC113245727	2
LOC113246025	7
LOC113246101	7
LOC113246223	1
LOC113246607	2
LOC113246689	7
LOC113246846	9
LOC113247025	9
LOC113247248	6
LOC113247619	9
LOC113247712	2
LOC113247996_ZNF772	2
LOC113248309	9
LOC113248523	3
LOC113248589	8
LOC113248650	8
LOC113248668	3
LOC113248694	3
LOC113248696	2
LOC113249186	3
LOC113249398	2
LOC113249593	2
LOC113249791	2
LOC113249794	2
LOC113249877	8
LOC113249880	8
LOC113249916	9
LOC113250087	9
LOC113250111	8
LOC113250190	2
LOC113250465	8
LOC113250754	2
LOC113250773	3
LOC113251464	2
LOC113251537	8
LOC113251880	2
LOC113251983	2
LOC113251995	2
LOC113252198	7
LOC113252531	9
LOC113252676	2
LOC113252823	2
LOC113252836	3
LOC113252908	9
LOC113253206	8
LOC113253301	8
LOC113253526	7
LOC113253769	8
LOC113254124	2
LOC113254125	2
LOC113254153	2
LOC113254155	2
LOC113254238	8
LOC113254331	3
LOC113254331_RNPC3	3
LOC113254431	8
LOC113254658	2
LOC113254915	9
LOC113254919	2
LOC113255131	7
LOC113255185	2
LOC113255445	8
LOC113255649	9
LOC113256006	2
LOC113256238	2
LOC113256263	3
LOC113256842	7
LOC113256978	2
LOC113257214	2
LOC113257657	5
LOC113258015	9
LOC113258025	9
LOC113258393	2
LOC113258503	2
LOC113258505	2
LOC113258509	2
LOC113258537	9
LOC113258593	8
LOC113258768	1
LOC113259008	2
LOC113259010	2
LOC113259265	2
LOC113260031	2
LOC113260041	2
LOC113260114	2
LOC113260612	8
LOC113260887	2
LOC113261698	7
LOC113261724	9
LOC113261790	2
LOC113261891	2
LOC113262000	3
LOC113262262_ACSL1	8
LOC113262292	8
LOC113262636	3
LOC113263118	1
LOC113263287	3
LOC113263294	2
LOC113263732	3
LOC113263782	8
LOC113263985	2
LOC113264001	9
LOC113264107	2
