#Gene	Name/Description	Isoforms	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
TMEM154	TMEM154	4	439.48	486.86	260.06
TMEM155	TMEM155	4	108.2	132.7	137.52
TMEM159	TMEM159	6	322.2	344.97	290.82
TMEM160	TMEM160	1	116.34	142.01	161.14
TMEM161A	TMEM161A	2	73.1	70.81	86.48
TMEM161B	TMEM161B	4	98.34	102.28	127.65
TMEM163	TMEM163	1	17.19	15.6	22.34
TMEM164	TMEM164	9	445.63	434.54	430.66
TMEM165	TMEM165	1	198.83	205.02	193.82
TMEM167A	TMEM167A	3	709.16	667.01	647.16
TMEM167B	TMEM167B	2	499.39	502.73	503.01
TMEM168	TMEM168	6	369.87	338.57	368.93
TMEM17	TMEM17	4	95.92	126.15	134.86
TMEM170A	TMEM170A	4	160.89	151.36	121.12
TMEM170B	TMEM170B	1	161.01	194.03	177.87
TMEM173	TMEM173	4	120.07	107.52	107.88
TMEM175	TMEM175	4	217.76	178.58	187.18
TMEM176A	TMEM176A	3	224.38	206.84	230.06
TMEM176B	TMEM176B	3	159.39	164.87	125.34
TMEM177	TMEM177	2	92.36	73.96	62.8
TMEM179B	TMEM179B	3	330.23	360.2	377.98
TMEM181	TMEM181	1	528.56	744.06	472.65
TMEM182	TMEM182	6	578.7	343.84	114.07
TMEM183A	TMEM183A	8	517.41	380.24	272.45
TMEM184B	TMEM184B	2	345.6	216.1	296.58
TMEM184C	TMEM184C	3	412.02	381.2	289.24
TMEM185A	TMEM185A	4	146.18	162.49	155.07
TMEM185B	TMEM185B	1	184.04	138.09	104.96
TMEM186	TMEM186	1	130.29	107.7	111.72
TMEM187	TMEM187	1	11.35	15.37	4.17
TMEM189	TMEM189	3	115.74	103.51	120.1
TMEM19	TMEM19	2	517.41	498.29	385.72
TMEM192	TMEM192	2	166.4	186.08	221.18
TMEM199	TMEM199	7	419.31	390.36	380.97
TMEM200A	TMEM200A	2	211.38	246.65	292.82
TMEM200B	TMEM200B	3	73.02	136.45	184.23
TMEM201	TMEM201	1	25.82	29.73	46.92
TMEM204	TMEM204	1	73.8	66.37	66.85
TMEM205	TMEM205	2	95.99	76.05	50.06
TMEM206	TMEM206	3	83.64	70.72	56.33
TMEM208	TMEM208	2	212.36	145.64	154.91
TMEM209	TMEM209	2	201.42	171.92	131.28
TMEM214	TMEM214	5	416.8	446.3	432.77
TMEM216	TMEM216	2	32.78	58.87	40.38
TMEM218	TMEM218	4	148.71	129.0	116.66
TMEM219	TMEM219	4	274.22	275.0	258.07
TMEM220	TMEM220	4	243.22	240.21	177.41
TMEM222	TMEM222	1	266.57	244.7	218.86
TMEM223	TMEM223	1	85.41	68.76	35.32
TMEM225B	TMEM225B	10	272.69	313.13	306.06
TMEM230	TMEM230	8	700.35	568.87	466.84
TMEM231	TMEM231	2	99.11	112.12	124.26
TMEM234	TMEM234	2	66.76	53.95	51.48
TMEM236	TMEM236	5	249.22	296.02	223.24
TMEM237	TMEM237	6	684.76	650.68	625.14
TMEM238	TMEM238	1	12.53	15.82	13.64
TMEM240	TMEM240	1	15.19	15.72	13.58
TMEM241	TMEM241	3	190.96	222.09	218.08
TMEM242	TMEM242	4	551.66	450.45	364.04
TMEM243	TMEM243	5	158.89	195.3	212.69
TMEM245	TMEM245	2	785.83	782.1	606.78
TMEM246	TMEM246	2	75.54	79.84	73.32
TMEM248	TMEM248	3	1714.23	1714.84	1684.32
TMEM25	TMEM25	4	160.14	83.95	38.11
TMEM250	TMEM250	3	296.57	201.8	225.14
TMEM251	TMEM251	1	133.85	126.48	96.9
TMEM254	TMEM254	10	394.5	386.81	260.64
TMEM255A	TMEM255A	1	22.85	27.23	28.61
TMEM256	TMEM256	1	343.04	318.77	269.78
TMEM258	TMEM258	3	339.78	323.42	303.56
TMEM259	TMEM259	1	869.42	631.89	501.13
TMEM26	TMEM26	1	23.61	16.77	13.84
TMEM260	TMEM260	5	837.45	771.67	934.2
TMEM262	TMEM262	1	13.98	14.53	11.42
TMEM263	TMEM263	1	619.76	481.15	498.97
TMEM265_SRCAP	TMEM265_SRCAP	1	24.24	26.27	25.46
TMEM266	TMEM266	1	32.82	35.69	35.66
TMEM267	TMEM267	2	56.56	68.76	70.57
TMEM268	TMEM268	4	512.41	389.91	520.37
TMEM269	TMEM269	1	22.8	32.13	51.28
TMEM273	TMEM273	2	152.66	165.76	141.89
TMEM30A	TMEM30A	5	489.49	475.84	479.17
TMEM33	TMEM33	3	806.75	717.78	592.62
TMEM35B	TMEM35B	2	129.36	104.68	36.64
TMEM37	TMEM37	1	350.44	294.84	247.35
TMEM38A	TMEM38A	2	26.84	16.05	34.84
TMEM38B	TMEM38B	5	133.06	128.21	151.31
TMEM39A	TMEM39A	8	270.93	251.1	292.74
TMEM39B	TMEM39B	2	22.43	37.65	29.32
TMEM40	TMEM40	1	17.64	9.26	9.35
TMEM41A	TMEM41A	9	345.1	365.58	473.69
TMEM41B	TMEM41B	5	448.35	401.1	556.27
TMEM42	TMEM42	1	43.11	29.48	38.03
TMEM43	TMEM43	8	3780.39	3232.72	3421.35
TMEM44	TMEM44	1	25.67	23.83	23.5
TMEM45A	TMEM45A	1	233.54	179.62	172.63
TMEM47	TMEM47	2	588.92	556.6	563.14
TMEM50A	TMEM50A	3	1089.68	1029.82	720.97
TMEM50B	TMEM50B	2	204.91	169.05	134.89
TMEM51	TMEM51	2	19.31	31.15	33.44
TMEM52	TMEM52	3	330.08	131.76	26.66
TMEM53	TMEM53	3	99.08	59.62	60.83
TMEM54	TMEM54	1	77.21	89.63	166.69
TMEM59	TMEM59	8	4597.54	4648.38	4336.03
TMEM59L	TMEM59L	1	17.62	13.67	10.28
TMEM60	TMEM60	1	152.99	146.85	114.03
TMEM62	TMEM62	4	111.34	112.91	124.38
TMEM63A	TMEM63A	5	400.82	350.48	344.69
TMEM63B	TMEM63B	3	83.17	58.19	76.55
TMEM64	TMEM64	3	417.49	590.62	465.3
TMEM65	TMEM65	2	331.8	341.02	298.27
TMEM67	TMEM67	1	38.98	37.49	30.14
TMEM68	TMEM68	7	181.67	177.42	200.67
TMEM69	TMEM69	1	131.46	110.78	96.22
TMEM70	TMEM70	3	178.17	158.64	130.44
TMEM71	TMEM71	2	29.36	35.64	19.27
TMEM74	TMEM74	1	16.53	8.44	5.7
TMEM80	TMEM80	6	265.41	231.66	267.58
TMEM86A	TMEM86A	4	245.23	322.89	267.06
TMEM86B	TMEM86B	1	10.13	11.11	14.59
TMEM87A	TMEM87A	11	965.59	843.68	798.1
TMEM87B	TMEM87B	2	295.0	333.64	371.46
TMEM8A	TMEM8A	2	49.98	42.3	28.79
TMEM9	TMEM9	1	16.9	18.46	18.69
TMEM94	TMEM94	4	95.46	129.54	128.93
TMEM97	TMEM97	3	108.43	83.04	101.81
TMEM98	TMEM98	1	22.1	29.97	32.89
TMEM9B	TMEM9B	6	756.2	806.07	596.09
TMF1	TMF1	6	907.02	980.4	1061.44
TMLHE	TMLHE	4	138.4	112.3	96.21
TMOD1	TMOD1	3	288.99	313.78	274.98
TMOD2	TMOD2	2	1606.32	1518.89	1293.97
TMOD3	TMOD3	2	1569.84	1513.5	1436.17
TMPO	TMPO	4	403.61	482.71	565.14
TMPPE	TMPPE	2	85.1	82.14	115.72
TMPRSS5	TMPRSS5	1	19.1	23.1	65.99
TMSB10	TMSB10	1	8856.32	10044.37	7767.21
TMSB15A	TMSB15A	1	57.91	66.33	65.04
TMSB15B	TMSB15B	1	123.4	125.98	125.42
TMSB4X	TMSB4X	2	16588.0	17212.25	15474.03
TMTC1	TMTC1	2	1239.06	1470.01	882.47
TMTC2	TMTC2	3	101.9	119.15	92.47
TMTC3	TMTC3	4	247.78	244.7	179.31
TMTC4	TMTC4	7	569.65	541.02	332.01
TMUB1	TMUB1	1	121.69	139.73	130.95
TMUB2	TMUB2	4	243.34	211.68	164.89
TMX1	TMX1	7	574.58	473.91	467.95
TMX2	TMX2	4	509.01	385.33	371.0
TMX3	TMX3	2	829.69	837.91	701.29
TMX4	TMX4	2	807.5	927.38	798.29
TNC	TNC	3	150.93	234.16	58.85
TNFAIP1	TNFAIP1	9	536.48	538.9	550.14
TNFAIP2	TNFAIP2	2	412.81	412.21	293.59
TNFAIP3	TNFAIP3	1	61.38	70.32	71.26
TNFAIP6	TNFAIP6	2	384.7	360.56	182.69
TNFAIP8	TNFAIP8	5	118.35	136.91	119.91
TNFAIP8L1	TNFAIP8L1	1	32.68	46.44	39.36
TNFAIP8L2	TNFAIP8L2	1	22.09	21.27	22.39
TNFAIP8L3	TNFAIP8L3	1	114.52	100.67	62.24
TNFRSF11A	TNFRSF11A	2	6.84	11.05	30.36
TNFRSF12A	TNFRSF12A	1	117.75	91.17	88.74
TNFRSF14	TNFRSF14	2	49.83	65.24	68.87
TNFRSF19	TNFRSF19	2	88.56	100.24	85.69
TNFRSF1A	TNFRSF1A	1	250.88	243.23	241.66
TNFRSF1B	TNFRSF1B	3	250.03	306.84	354.71
TNFRSF21	TNFRSF21	3	385.31	401.26	222.77
TNFRSF25	TNFRSF25	2	29.92	26.22	31.91
TNFRSF6B	TNFRSF6B	1	4.08	4.83	24.43
TNFRSF9	TNFRSF9	9	201.2	276.13	307.4
TNFSF10	TNFSF10	12	2511.94	2656.91	1665.08
TNFSF13	TNFSF13	1	47.81	39.46	36.33
TNFSF13B	TNFSF13B	1	21.17	22.01	22.95
TNFSF15	TNFSF15	1	16.69	12.74	11.14
TNIK	TNIK	4	215.11	286.52	231.35
TNIP1	TNIP1	10	719.28	937.93	983.53
TNIP2	TNIP2	1	60.04	59.88	72.81
TNK2	TNK2	7	628.46	753.94	1334.16
TNKS	TNKS	2	963.9	1014.34	1178.96
TNKS1BP1	TNKS1BP1	3	1497.14	1437.74	1358.4
TNKS2	TNKS2	2	1832.27	1851.43	1856.55
TNMD	TNMD	1	46.1	141.49	31.94
TNN	TNN	1	3.98	28.61	23.11
